Lý do,Key,Promotion Master Code,Promotion Code,Promo. Detail Line ID,Allocation Code,Brand Code,Brand Name,Section Code,Section Name,Expense Code,Expense Name,Allocation Percent,PA No,Promotion Bus Posting Group,Product Code (Material),Created By,Created Date,Created Time,Last Updated By,Last Updated Date,Last Updated Time,Deleted
Dòng KM đã xóa trên SFA,EPS2603000531000926740202042103,EPS2603000531,0009,1,267,402020,Retail,42103,Food Service Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,HQADMIN_08,46274,0.39574074074074,HQADMIN_08,46274,0.39574074074074,
Dòng KM đã xóa trên SFA,EPS2603000531000926840202042103,EPS2603000531,0009,1,268,402020,Retail,42103,Food Service Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,HQADMIN_08,46274,0.39574074074074,HQADMIN_08,46274,0.39574074074074,
Dòng KM đã xóa trên SFA,EPS2603000531000926740202042103,EPS2603000531,0009,2,267,402020,Retail,42103,Food Service Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,HQADMIN_08,46274,0.39574074074074,HQADMIN_08,46274,0.39574074074074,
Dòng KM đã xóa trên SFA,EPS2603000531000926840202042103,EPS2603000531,0009,2,268,402020,Retail,42103,Food Service Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,HQADMIN_08,46274,0.39574074074074,HQADMIN_08,46274,0.39574074074074,
Mức (detail line) đã xóa trên SFA,EPS260800151000555840114042105,EPS260800151,0005,2,558,401140,Pancake Original,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,90,,,,HQADMIN_08,46270,0.66568287037036999,HQADMIN_08,46281,0.60178240740740996,
Mức (detail line) đã xóa trên SFA,EPS260800151000555940114142105,EPS260800151,0005,2,559,401141,Pancake Chocolate,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,10,,,,HQADMIN_08,46270,0.66568287037036999,HQADMIN_08,46281,0.60178240740740996,
Mức (detail line) đã xóa trên SFA,EPS260800151000556040114042105,EPS260800151,0005,2,560,401140,Pancake Original,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,90,,,,HQADMIN_08,46270,0.66568287037036999,HQADMIN_08,46281,0.60178240740740996,
Mức (detail line) đã xóa trên SFA,EPS260800151000556140114142105,EPS260800151,0005,2,561,401141,Pancake Chocolate,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,10,,,,HQADMIN_08,46270,0.66568287037036999,HQADMIN_08,46281,0.60178240740740996,
Mức (detail line) đã xóa trên SFA,EPS260800151000655840114042105,EPS260800151,0006,2,558,401140,Pancake Original,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,90,,,,HQADMIN_08,46281,0.60177083333333004,HQADMIN_08,46281,0.60211805555555997,
Mức (detail line) đã xóa trên SFA,EPS260800151000655940114142105,EPS260800151,0006,2,559,401141,Pancake Chocolate,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,10,,,,HQADMIN_08,46281,0.60177083333333004,HQADMIN_08,46281,0.60211805555555997,
Mức (detail line) đã xóa trên SFA,EPS260800151000656040114042105,EPS260800151,0006,2,560,401140,Pancake Original,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,90,,,,HQADMIN_08,46281,0.60177083333333004,HQADMIN_08,46281,0.60211805555555997,
Mức (detail line) đã xóa trên SFA,EPS260800151000656140114142105,EPS260800151,0006,2,561,401141,Pancake Chocolate,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,10,,,,HQADMIN_08,46281,0.60177083333333004,HQADMIN_08,46281,0.60211805555555997,
Dòng KM đã xóa trên SFA,EPS2609000020118133840404042103,EPS260900002,0118,1,1338,404040,Aji-ngon Pork,42103,Food Service Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,HQADMIN_08,46270,0.66623842592592997,HQADMIN_08,46274,0.37626157407407002,
Dòng KM đã xóa trên SFA,EPS26090030040140404342103,EPS2609003,0040,1,1,404043,Aji-ngon Vegetarian,42103,Food Service Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,hanh_lth,46272,0.47104166666667002,hanh_lth,46272,0.58831018518518996,
Dòng KM đã xóa trên SFA,EPS26090060006106440211642105,EPS2609006,0006,1,1064,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.59063657407407,
Dòng KM đã xóa trên SFA,EPS26090060009106740211642105,EPS2609006,0009,1,1067,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.59521990740741004,
Dòng KM đã xóa trên SFA,EPS26090060012107040211642105,EPS2609006,0012,1,1070,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.59799768518519003,
Dòng KM đã xóa trên SFA,EPS26090060019107840211642105,EPS2609006,0019,1,1078,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.61273148148148004,
Dòng KM đã xóa trên SFA,EPS26090060022108140211642105,EPS2609006,0022,1,1081,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.61750000000000005,
