Header (SalesInvoiceHeaderCSV_*),,,,,,,Line item (SalesInvoiceDetailCSV_*),,,,
STT,3rd system,Mapping,SAP system,Examples,,,STT,3rd system,Mapping,SAP system,Examples
1,CompanyCode,1:1,ZR_EMOB_COMP_CODE,AVN,,,1,CompanyCode,1:1,ZR_EMOB_COMP_CODE,AVN
2,CustomerCode,1:1,ZR_EMOB_CUS_CODE,NPPAVN,,,2,CustomerCode,1:1,ZR_EMOB_CUS_CODE,NPPAVN
3,DocumentCode,1:1,ZR_EMOB_SI_DOC,PSI0013863761,,,3,DocumentCode,1:1,ZR_EMOB_SO_NUM,PSI0013863761
4,DocumentType,1:1,ZR_DOC_TYPE,"SalesInvoice
SalesReturnReceipt",,,4,SalesInvoiceDetailLineID,1:1,ZR_EMOB_SI_LINE_ID,1
5,SourceDocumentCode,1:1,ZR_EMOB_SO_NUM,eSO0000713101-4,,,5,DocumentType,1:1,ZR_EMOB_SI_DOC,SalesInvoice
6,OrderType,1:1,ZR_ORDER_TYPE,0,,,6,SourceDocumentCode,1:1,ZR_DOC_TYPE,eSO0000713101-4
7,RefCode,1:1,ZR_REF_NO,145419.1C25TDN,,,7,OrderType,1:1,ZR_ORDER_TYPE,0
8,SecondaryCustomerCode,1:1,ZR_CUS_CODE,1420007329,,,8,SecondaryCustomerCode,1:1,ZR_CUS_CODE,1420007329
9,SecondaryCustomerName,1:1,ZR_CUS_NAME,CÔNG TY AJINOMOTO VIỆT NAM (BỘ PHẬN LGA),,,9,SalesRouteCode,1:1,ZR_SALES_TEAM_ID,1420000556
10,PaymentTerm,1:1,ZR_PAY_TERM,4C01,,,10,PostingDate,1:1,ZR_POST_DATE,20251030
11,PricePaymentTerm,1:1,ZR_PRICE_PAY_TERM,0,,,11,PostingTime,1:1,ZR_POST_TIME,133549
12,SecondaryCustomerType,1:1,ZR_CUS_TYPE,,,,12,OrderDate,1:1,ZR_ORDER_DATE,20251030
13,SecondaryCustomerClass,1:1,ZR_CUS_CLASS,,,,13,OrderTime,1:1,ZR_ORDER_TIME,133549
14,CustomerSegment,1:1,ZR_CUS_SEGM,37,,,14,ProductName,1:1,ZR_PRODUCT_NAME,BL-16G-MAT-BOX 10 STICK-(12.22)
15,ParentSecondaryCustomerCode,1:1,ZR_CUS_PARENT_CODE,1420007329,,,15,UnitPrice,1:1,ZR_UNIT_PRICE,32083
16,Attribute1,1:1,ZR_ATTRIBUTE_1,,,,16,SecondarySalesPricePlanCode,1:1,ZR_SALES_PRICE_PLAN_CODE,BG_OT_000253
17,Attribute2,1:1,ZR_ATTRIBUTE_2,,,,17,DiscountAmountOnPrice,1:1,ZR_DIS_AMT_PRICE,0
18,Attribute3,1:1,ZR_ATTRIBUTE_3,,,,18,PriceIncludingDiscount,1:1,ZR_PRICE_INCL_DIS,32083
19,Attribute4,1:1,ZR_ATTRIBUTE_4,,,,19,Quantity,1:1,ZR_QUAN,55
20,Attribute5,1:1,ZR_ATTRIBUTE_5,,,,20,UOMCode,1:1,ZR_UOM_CODE,BOX
21,Attribute6,1:1,ZR_ATTRIBUTE_6,,,,21,LocationCode,1:1,ZR_SLOC_CODE,18008
22,SecondaryCustomerGroup,1:1,ZR_CUS_GROUP,,,,22,BinCode,1:1,ZR_BIN_CODE,20522
23,Address,1:1,ZR_ADDR,"Khu Công nghiệp Biên Hòa I, phường Trấn Biên, tỉnh Đồng Nai, Việt Nam",,,23,Amount,1:1,ZR_AMOUNT,1764565
24,ShipAddress,1:1,ZR_SHIP_ADDR,,,,24,InvoiceDiscount,1:1,ZR_INV_DIS,0
25,Phone,1:1,ZR_PHONE,,,,25,TaxPercent,1:1,ZR_TAX_PERCENT,8
26,ShippingPhone,1:1,ZR_SHIPPING_PHONE,,,,26,PriceIncludingTax,1:1,ZR_PRICE_INCL_TAX,34650
