DocumentCode,OrderNumber,InvoiceNumber,FileNames,FirstSyncTime,LastSyncTime,Status,AllUploaded,TruncatedBatch
SPSI0000000146,SO0000000199,929.1C26TDN,"PostedPromotionResultCSV_20260714102702.txt | SalesInvoiceDetailCSV_20260714102702.txt | SalesInvoiceHeaderCSV_20260714102702.txt",2026-07-14T03:27:03.611Z,2026-07-14T03:27:06.474Z,Success,true,false
SPSI0000000128,SO0000000200,901.1C26TDN,"PostedPromotionResultCSV_20260714090014.txt | SalesInvoiceDetailCSV_20260714090014.txt | SalesInvoiceHeaderCSV_20260714090014.txt",2026-07-14T02:00:16.318Z,2026-07-14T02:00:17.246Z,Success,true,false
SPSI0000000145,SO0000000201,928.1C26TDN,"PostedPromotionResultCSV_20260714102018.txt | SalesInvoiceDetailCSV_20260714102018.txt | SalesInvoiceHeaderCSV_20260714102018.txt",2026-07-14T03:20:18.984Z,2026-07-14T03:20:21.941Z,Success,true,false
SPSI0000000149,SO0000000202,934.1C26TDN,"PostedPromotionResultCSV_20260714103807.txt | SalesInvoiceDetailCSV_20260714103807.txt | SalesInvoiceHeaderCSV_20260714103807.txt",2026-07-14T03:38:07.883Z,2026-07-14T03:38:08.861Z,Success,true,false
SPSI0000000129,SO0000000204,902.1C26TDN,"PostedPromotionResultCSV_20260714090416.txt | SalesInvoiceDetailCSV_20260714090416.txt | SalesInvoiceHeaderCSV_20260714090416.txt",2026-07-14T02:04:17.633Z,2026-07-14T02:04:19.817Z,Success,true,false
SPSI0000000144,SO0000000205,927.1C26TDN,"PostedPromotionResultCSV_20260714101717.txt | SalesInvoiceDetailCSV_20260714101717.txt | SalesInvoiceHeaderCSV_20260714101717.txt",2026-07-14T03:17:17.809Z,2026-07-14T03:17:19.062Z,Success,true,false
SPSI0000000152,SO0000000206,937.1C26TDN,"PostedPromotionResultCSV_20260714104008.txt | SalesInvoiceDetailCSV_20260714104008.txt | SalesInvoiceHeaderCSV_20260714104008.txt",2026-07-14T03:40:08.866Z,2026-07-14T03:40:12.277Z,Success,true,false
SPSI0000000153,SO0000000207,938.1C26TDN,"PostedPromotionResultCSV_20260714104108.txt | SalesInvoiceDetailCSV_20260714104108.txt | SalesInvoiceHeaderCSV_20260714104108.txt",2026-07-14T03:41:09.983Z,2026-07-14T03:41:16.410Z,Success,true,false
SPSI0000000154,SO0000000208,939.1C26TDN,"PostedPromotionResultCSV_20260714104310.txt | SalesInvoiceDetailCSV_20260714104310.txt | SalesInvoiceHeaderCSV_20260714104310.txt",2026-07-14T03:43:11.526Z,2026-07-14T03:43:12.894Z,Success,true,false
SPSI0000000131,SO0000000209,905.1C26TDN,"PostedPromotionResultCSV_20260714092706.txt | SalesInvoiceDetailCSV_20260714092706.txt | SalesInvoiceHeaderCSV_20260714092706.txt",2026-07-14T02:27:07.022Z,2026-07-14T02:27:08.042Z,Success,true,false
SPSI0000000141,SO0000000210,923.1C26TDN,"PostedPromotionResultCSV_20260714101416.txt | SalesInvoiceDetailCSV_20260714101416.txt | SalesInvoiceHeaderCSV_20260714101416.txt",2026-07-14T03:14:16.548Z,2026-07-14T03:14:17.729Z,Success,true,false
SPSI0000000155,SO0000000213,940.1C26TDN,"PostedPromotionResultCSV_20260714104310.txt | SalesInvoiceDetailCSV_20260714104310.txt | SalesInvoiceHeaderCSV_20260714104310.txt",2026-07-14T03:43:11.526Z,2026-07-14T03:43:12.894Z,Success,true,false
SPSI0000000156,SO0000000215,941.1C26TDN,"PostedPromotionResultCSV_20260714104310.txt | SalesInvoiceDetailCSV_20260714104310.txt | SalesInvoiceHeaderCSV_20260714104310.txt",2026-07-14T03:43:11.526Z,2026-07-14T03:43:12.894Z,Success,true,false
SPSI0000000139,SO0000000216,919.1C26TDN,"PostedPromotionResultCSV_20260714101014.txt | SalesInvoiceDetailCSV_20260714101014.txt | SalesInvoiceHeaderCSV_20260714101014.txt",2026-07-14T03:10:15.801Z,2026-07-14T03:10:16.783Z,Success,true,false
SPSI0000000138,SO0000000217,918.1C26TDN,"PostedPromotionResultCSV_20260714100612.txt | SalesInvoiceDetailCSV_20260714100612.txt | SalesInvoiceHeaderCSV_20260714100612.txt",2026-07-14T03:06:13.027Z,2026-07-14T03:06:15.494Z,Success,true,false
SPSI0000000132,SO0000000218,909.1C26TDN,"PostedPromotionResultCSV_20260714093509.txt | SalesInvoiceDetailCSV_20260714093509.txt | SalesInvoiceHeaderCSV_20260714093509.txt",2026-07-14T02:35:11.629Z,2026-07-14T02:35:12.915Z,Success,true,false
SPSI0000000137,SO0000000219,917.1C26TDN,"PostedPromotionResultCSV_20260714100511.txt | SalesInvoiceDetailCSV_20260714100511.txt | SalesInvoiceHeaderCSV_20260714100511.txt",2026-07-14T03:05:12.857Z,2026-07-14T03:05:16.723Z,Success,true,false
SPSI0000000158,SO0000000221,943.1C26TDN,"PostedPromotionResultCSV_20260714104410.txt | SalesInvoiceDetailCSV_20260714104410.txt | SalesInvoiceHeaderCSV_20260714104410.txt",2026-07-14T03:44:12.073Z,2026-07-14T03:44:14.669Z,Success,true,false
SPSI0000000133,SO0000000222,911.1C26TDN,"PostedPromotionResultCSV_20260714094901.txt | SalesInvoiceDetailCSV_20260714094901.txt | SalesInvoiceHeaderCSV_20260714094901.txt",2026-07-14T02:49:01.977Z,2026-07-14T02:49:05.758Z,Success,true,false
SPSI0000000151,SO0000000223,936.1C26TDN,"PostedPromotionResultCSV_20260714103807.txt | SalesInvoiceDetailCSV_20260714103807.txt | SalesInvoiceHeaderCSV_20260714103807.txt",2026-07-14T03:38:07.883Z,2026-07-14T03:38:08.861Z,Success,true,false
SPSI0000000148,SO0000000225,933.1C26TDN,"PostedPromotionResultCSV_20260714103807.txt | SalesInvoiceDetailCSV_20260714103807.txt | SalesInvoiceHeaderCSV_20260714103807.txt",2026-07-14T03:38:07.883Z,2026-07-14T03:38:08.861Z,Success,true,false
SPSI0000000159,SO0000000226,944.1C26TDN,"PostedPromotionResultCSV_20260714104511.txt | SalesInvoiceDetailCSV_20260714104511.txt | SalesInvoiceHeaderCSV_20260714104511.txt",2026-07-14T03:45:11.758Z,2026-07-14T03:45:13.253Z,Success,true,false
SPSI0000000135,SO0000000227,915.1C26TDN,"PostedPromotionResultCSV_20260714100009.txt | SalesInvoiceDetailCSV_20260714100009.txt | SalesInvoiceHeaderCSV_20260714100009.txt",2026-07-14T03:00:10.966Z,2026-07-14T03:00:12.214Z,Success,true,false
SPSI0000000134,SO0000000228,913.1C26TDN,"PostedPromotionResultCSV_20260714095507.txt | SalesInvoiceDetailCSV_20260714095507.txt | SalesInvoiceHeaderCSV_20260714095507.txt",2026-07-14T02:55:08.456Z,2026-07-14T02:55:15.682Z,Success,true,false
SPSI0000000160,SO0000000231,945.1C26TDN,"PostedPromotionResultCSV_20260714104611.txt | SalesInvoiceDetailCSV_20260714104611.txt | SalesInvoiceHeaderCSV_20260714104611.txt",2026-07-14T03:46:12.345Z,2026-07-14T03:46:13.790Z,Success,true,false
SPSI0000000136,SO0000000232,916.1C26TDN,"PostedPromotionResultCSV_20260714100511.txt | SalesInvoiceDetailCSV_20260714100511.txt | SalesInvoiceHeaderCSV_20260714100511.txt",2026-07-14T03:05:12.857Z,2026-07-14T03:05:16.723Z,Success,true,false
SPSI0000000142,SO0000000233,925.1C26TDN,"PostedPromotionResultCSV_20260714101717.txt | SalesInvoiceDetailCSV_20260714101717.txt | SalesInvoiceHeaderCSV_20260714101717.txt",2026-07-14T03:17:17.809Z,2026-07-14T03:17:19.062Z,Success,true,false
SPSI0000000147,SO0000000234,932.1C26TDN,"PostedPromotionResultCSV_20260714103706.txt | SalesInvoiceDetailCSV_20260714103706.txt | SalesInvoiceHeaderCSV_20260714103706.txt",2026-07-14T03:37:07.343Z,2026-07-14T03:37:08.453Z,Success,true,false
SPSI0000000140,SO0000000235,921.1C26TDN,"PostedPromotionResultCSV_20260714101215.txt | SalesInvoiceDetailCSV_20260714101215.txt | SalesInvoiceHeaderCSV_20260714101215.txt",2026-07-14T03:12:15.859Z,2026-07-14T03:12:16.753Z,Success,true,false
